dataset,value,month
Getötete (vorläufige Daten),60,2021-08-01
Getötete,,2021-09-01
Getötete (vorläufige Daten),41,2021-09-01
Getötete,,2021-10-01
Getötete (vorläufige Daten),65,2021-10-01
Getötete,,2021-11-01
Getötete (vorläufige Daten),23,2021-11-01
Getötete,,2021-12-01
Getötete (vorläufige Daten),63,2021-12-01
Getötete,,2022-01-01
Getötete (vorläufige Daten),62,2022-01-01
Getötete,,2022-02-01
Getötete (vorläufige Daten),46,2022-02-01
Getötete,,2022-03-01
Getötete (vorläufige Daten),42,2022-03-01
Getötete,,2022-04-01
Getötete (vorläufige Daten),31,2022-04-01
Getötete,,2022-05-01
Getötete (vorläufige Daten),82,2022-05-01
Getötete,,2022-06-01
Getötete (vorläufige Daten),44,2022-06-01
Getötete,,2022-07-01
Getötete (vorläufige Daten),67,2022-07-01
Getötete,,2022-08-01
Getötete (vorläufige Daten),80,2022-08-01
Getötete,,2022-09-01
Getötete (vorläufige Daten),68,2022-09-01
Getötete,,2022-10-01
Getötete (vorläufige Daten),63,2022-10-01
Getötete,,2022-11-01
Getötete (vorläufige Daten),65,2022-11-01
Getötete,,2022-12-01
Getötete (vorläufige Daten),90,2022-12-01
Getötete,,2023-01-01
Getötete (vorläufige Daten),56,2023-01-01
Getötete,,2023-02-01
Getötete (vorläufige Daten),52,2023-02-01
Getötete,,2023-03-01
Getötete (vorläufige Daten),76,2023-03-01
Getötete,,2023-04-01
Getötete (vorläufige Daten),86,2023-04-01
Getötete,,2023-05-01
Getötete (vorläufige Daten),46,2023-05-01
Getötete,,2023-06-01
Getötete (vorläufige Daten),28,2023-06-01
Getötete,,2023-07-01
Getötete (vorläufige Daten),30,2023-07-01
Getötete,,2023-08-01
Getötete (vorläufige Daten),29,2023-08-01
Getötete,,2023-09-01
Getötete (vorläufige Daten),38,2023-09-01
Getötete,,2023-10-01
Getötete (vorläufige Daten),34,2023-10-01
Getötete,,2023-11-01
Getötete (vorläufige Daten),34,2023-11-01
Getötete,,2023-12-01
Getötete (vorläufige Daten),28,2023-12-01
Getötete,,2024-01-01
Getötete (vorläufige Daten),,2024-01-01
Getötete,,2024-02-01
Getötete (vorläufige Daten),,2024-02-01
Getötete,,2024-03-01
Getötete (vorläufige Daten),,2024-03-01
Getötete,,2024-04-01
Getötete (vorläufige Daten),,2024-04-01
Getötete,,2024-05-01
Getötete (vorläufige Daten),,2024-05-01
Getötete,,2024-06-01
Getötete (vorläufige Daten),,2024-06-01
Getötete,,2024-07-01
Getötete (vorläufige Daten),,2024-07-01
Getötete,,2024-08-01
Getötete (vorläufige Daten),,2024-08-01
Getötete,,2024-09-01
Getötete (vorläufige Daten),,2024-09-01
Getötete,,2024-10-01
Getötete (vorläufige Daten),,2024-10-01
Getötete,,2024-11-01
Getötete (vorläufige Daten),,2024-11-01
Getötete,,2024-12-01
Getötete (vorläufige Daten),,2024-12-01
